scrape_date,website_url,Product_ID,GTIN,Brand,product,price,pack_size,multibuy_deal_quantity,multibuy_deal_price,undiscounted_price,delivery_available,review_rating,review_count,style,type,packaging,standard_drinks,alcohol_content,organic,origin
10/8/2021,https://www.liquorland.com.au/beer/mercury-hard-cider-can-375ml_2538299,2538299,9.32E+12,Mercury,Hard Cider Can 375mL,59,Pack (24),,,,TRUE,5,3,Apple Cider (WET),,Can,2.1,6.90%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/henninger-lager-bottle-660ml_7530818,7530818,4.0534E+12,Henninger,Lager Bottle 660mL,39,Pack (12),,,,TRUE,,0,Lager,Lager,Bottle,2.5,4.80%,No,Germany
10/8/2021,https://www.liquorland.com.au/beer/fat-pixie-hard-ginger-beer-can-10pk-375ml_3537724,3537724,9.32396E+12,Fat Pixie,Hard Ginger Beer Can 10Pk 375mL,28,Pack (10),,,,TRUE,2.7,10,,,Can,2.4,8.00%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/asahi-soukai-bottle-330ml_2597549,2597549,9.32998E+12,Asahi,Soukai Bottle 330mL,47,Pack (24),,,48,TRUE,5,1,,Mid Strength,Bottle,1,3.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/mercury-hard-cider-crushed-raspberry-can-375ml_3716439,3716439,9.32E+12,Mercury,Hard Cider Crushed Raspberry Can 375mL,66,Pack (24),,,,TRUE,4.8,4,Flavoured Cider,,Can,2.5,8.20%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/desperado-tequilla-beer-can-500ml_4228816,4228816,5.90156E+12,Desperado,Tequilla Beer Can 500mL,93,Pack (24),,,,TRUE,5,1,,,Can,2.4,6.00%,No,United Kingdom
10/8/2021,https://www.liquorland.com.au/beer/tiger-lager-bottle-330ml_549011,549011,86428210399,Tiger,Lager Bottle 330mL,50,Pack (24),,,58,TRUE,5,2,Lager,Lager,Bottle,1.4,5.00%,No,Singapore
10/8/2021,https://www.liquorland.com.au/beer/kosciuszko-pale-ale-bottle-330ml_2736496,2736496,9.32553E+12,Kosciuszko,Pale Ale Bottle 330mL,64,Pack (24),,,69,TRUE,,0,Pale Ale,Pale Ale,Bottle,1.2,4.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/wilde-gluten-free-crisp-lager-bottle-330ml_4320149,4320149,9.34786E+12,Wilde,Gluten Free Crisp Lager Bottle 330mL,54,Pack (24),,,,TRUE,4,3,Lager,,Bottle,1.1,4.20%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/smithy-s-bitter-can-375ml_4308100,4308100,9.31394E+12,Smithy's,Bitter Can 375mL,47,Pack (24),,,,TRUE,4.7,3,Bitter,bitter,Can,1.4,4.50%,No,Australia
